ID,location,district,Khoroo1,District2,Khoroo2,District3,Khoroo3,District4,Khoroo4,District5,Khoroo5,District6,Khoroo6 ,District7,Khoroo7,District8,Khoroo8
1,21-р хороолол,Сонгино Хайрхан,19,,,,,,,,,,,,,,
2,13-р хороолол,Баянзүрх,6,Баянзүрх,15,Баянзүрх,18,Баянзүрх,25,,,,,,,,
3,15-р хороолол,Баянзүрх,7,Баянзүрх,4,Баянзүрх,5,,,,,,,,,,
4,19-р хороолол,Хан-Уул,3,Хан-Уул,1,Хан-Уул,2,,,,,,,,,,
5,Нисэх,Хан-Уул,9,Хан-Уул,16,Хан-Уул,10,,,,,,,,,,
6,Бусад,,,,,,,,,,,,,,,,
7,Яармаг,Хан-Уул,4,Хан-Уул,5,Хан-Уул,6,Хан-Уул,7,Хан-Уул,8,,,,,,
8,Төмөр зам,Баянгол,3,Баянгол,2,Баянгол,1,,,,,,,,,,
9,14-р хороолол,Баянзүрх,14,Баянзүрх,,,,,,,,,,,,,
10,3| 4 хороолол,Баянгол,,Баянгол,,Баянгол,,Баянгол,,,,,,,,,
11,5-р хороолол,Сүхбаатар,5,Сүхбаатар,3,,,,,,,,,,,,
12,Баянмонгол хороолол,Баянзүрх,25,,,,,,,,,,,,,,
13,Бага тойрог,Сүхбаатар,6,Чингэлтэй,4,Сүхбаатар,8,Чингэлтэй ,1,,,,,,,,
14,Japan town,Хан-Уул,15,,,,,,,,,,,,,,
15,Баянбүрд,Чингэлтэй,6,,,,,,,,,,,,,,
16,10-р хороолол,Баянгол,4,Баянгол,5,Баянгол,6,,,,,,,,,,
17,Хүннү,Хан-Уул ,15,,,,,,,,,,,,,,
18,16-р хороолол,Баянзүрх,16,,,,,,,,,,,,,,
19,Олимп хотхон,Баянзүрх ,26,,,,,,,,,,,,,,
20,Офицер,Баянзүрх ,22,,,,,,,,,,,,,,
21,1-р хороолол,Сонгино Хайрхан,17,Сонгино Хайрхан,16,Сонгино Хайрхан,15,Сонгино Хайрхан,31,Сонгино Хайрхан,13,Сонгино Хайрхан,13,,,,
22,6-р бичил,Баянгол,12,,,,,,,,,,,,,,
23,Romana Residence,Хан-Уул ,15,,,,,,,,,,,,,,
