district_khoroo,crime_score_2015,pop_2015,score_2015,crime_score_2016,pop_2016,score_2016
Багануур 1-р хороо,98.0,8423.0,1163.4809450314615,113.0,8643.0,1307.416406340391
Багануур 2-р хороо,10.0,644.0,1552.7950310559006,23.0,670.0,3432.8358208955224
Багануур 3-р хороо,97.0,7832.0,1238.508682328907,98.0,7793.0,1257.53881688695
Багануур 4-р хороо,66.0,5154.0,1280.5587892898718,70.0,5331.0,1313.0744700806604
Багануур 5-р хороо,113.0,6366.0,1775.0549795790137,101.0,6536.0,1545.2876376988984
Багахангай 1-р хороо,10.0,2176.0,459.55882352941177,24.0,2233.0,1074.7872816838333
Багахангай 2-р хороо,9.0,1955.0,460.3580562659846,10.0,1910.0,523.5602094240838
Баянгол 1-р хороо,185.0,17380.0,1064.4418872266974,201.0,17259.0,1164.6097688162697
Баянгол 10-р хороо,85.0,8413.0,1010.3411387138952,69.0,8550.0,807.0175438596491
Баянгол 11-р хороо,136.0,6624.0,2053.140096618358,151.0,6692.0,2256.4255827854154
Баянгол 12-р хороо,118.0,10677.0,1105.1793574974245,172.0,10426.0,1649.7218492230961
Баянгол 13-р хороо,95.0,4252.0,2234.242709313264,111.0,4490.0,2472.1603563474387
Баянгол 14-р хороо,163.0,4321.0,3772.274936357325,190.0,4423.0,4295.726882206647
Баянгол 15-р хороо,95.0,4280.0,2219.626168224299,92.0,4514.0,2038.1036774479398
Баянгол 16-р хороо,192.0,6774.0,2834.36669619132,188.0,6715.0,2799.7021593447507
Баянгол 17-р хороо,200.0,9195.0,2175.0951604132683,140.0,8823.0,1586.7618723790094
Баянгол 18-р хороо,130.0,10750.0,1209.3023255813953,182.0,11182.0,1627.6158111250222
Баянгол 19-р хороо,113.0,5724.0,1974.1439552760305,121.0,6025.0,2008.2987551867218
Баянгол 2-р хороо,186.0,7941.0,2342.274272761617,182.0,8381.0,2171.5785705763037
Баянгол 20-р хороо,205.0,7219.0,2839.728494251281,275.0,7833.0,3510.787693093323
Баянгол 21-р хороо,57.0,7396.0,770.6868577609519,78.0,7617.0,1024.0252067743206
Баянгол 22-р хороо,140.0,8030.0,1743.4620174346203,135.0,8172.0,1651.9823788546255
Баянгол 23-р хороо,80.0,5633.0,1420.2023788389845,37.0,5730.0,645.7242582897032
Баянгол 3-р хороо,191.0,9357.0,2041.2525382066904,186.0,11326.0,1642.2390958855729
Баянгол 4-р хороо,263.0,17000.0,1547.0588235294117,203.0,17896.0,1134.3316942333483
Баянгол 5-р хороо,226.0,9443.0,2393.3072116912,201.0,10200.0,1970.5882352941178
Баянгол 6-р хороо,167.0,16027.0,1041.9916391090035,167.0,16176.0,1032.3936696340256
Баянгол 7-р хороо,158.0,11367.0,1389.988563385238,224.0,12456.0,1798.3301220295439
Баянгол 8-р хороо,161.0,11303.0,1424.400601610192,209.0,12188.0,1714.8014440433215
Баянгол 9-р хороо,89.0,6557.0,1357.3280463626659,102.0,7204.0,1415.8800666296502
Баянзүрх 1-р хороо,145.0,7446.0,1947.3542841794251,169.0,7292.0,2317.6083379045526
Баянзүрх 10-р хороо,86.0,7431.0,1157.3139550531557,124.0,7515.0,1650.0332667997338
Баянзүрх 11-р хороо,219.0,7333.0,2986.4993863357427,254.0,7083.0,3586.051108287449
Баянзүрх 12-р хороо,127.0,14153.0,897.3362537977814,174.0,14244.0,1221.5669755686606
Баянзүрх 13-р хороо,168.0,9496.0,1769.1659646166806,145.0,10022.0,1446.8170025942925
Баянзүрх 14-р хороо,583.0,13573.0,4295.292124069844,457.0,13121.0,3482.966237329472
Баянзүрх 15-р хороо,89.0,7078.0,1257.4173495337666,97.0,7088.0,1368.510158013544
Баянзүрх 16-р хороо,233.0,16418.0,1419.174077232306,246.0,17448.0,1409.9037138927097
Баянзүрх 17-р хороо,125.0,10839.0,1153.2429190884768,109.0,11062.0,985.3552702947024
Баянзүрх 18-р хороо,131.0,11469.0,1142.2094341267764,157.0,11272.0,1392.831795599716
Баянзүрх 19-р хороо,130.0,11559.0,1124.6647633878363,137.0,11345.0,1207.5804319083297
Баянзүрх 2-р хороо,180.0,11070.0,1626.0162601626018,204.0,11099.0,1838.0034237318678
Баянзүрх 20-р хороо,173.0,8189.0,2112.590059836366,151.0,8275.0,1824.773413897281
Баянзүрх 21-р хороо,144.0,11326.0,1271.4109129436692,143.0,11456.0,1248.2541899441342
Баянзүрх 22-р хороо,218.0,13772.0,1582.9218704618065,281.0,13759.0,2042.2995857257067
Баянзүрх 23-р хороо,150.0,15703.0,955.2314844297268,170.0,15512.0,1095.9257349149048
Баянзүрх 24-р хороо,115.0,9428.0,1219.7708952057699,110.0,9512.0,1156.4339781328847
Баянзүрх 25-р хороо,153.0,11480.0,1332.752613240418,163.0,12350.0,1319.8380566801618
Баянзүрх 26-р хороо,126.0,11223.0,1122.6944667201283,147.0,11573.0,1270.1978743627408
Баянзүрх 27-р хороо,130.0,13006.0,999.5386744579424,163.0,12099.0,1347.218778411439
Баянзүрх 28-р хороо,84.0,8964.0,937.0816599732262,124.0,9073.0,1366.6923839964732
Баянзүрх 3-р хороо,131.0,5954.0,2200.201545179711,220.0,6200.0,3548.3870967741937
Баянзүрх 4-р хороо,267.0,16311.0,1636.9321316902704,195.0,16265.0,1198.8933292345525
Баянзүрх 5-р хороо,198.0,20959.0,944.7015601889402,309.0,21731.0,1421.9318024941329
Баянзүрх 6-р хороо,178.0,10282.0,1731.1807041431628,173.0,13470.0,1284.3355605048255
Баянзүрх 7-р хороо,184.0,5969.0,3082.5933992293517,222.0,6167.0,3599.8054159234634
Баянзүрх 8-р хороо,233.0,16655.0,1398.9792854998498,223.0,17389.0,1282.4199206394846
Баянзүрх 9-р хороо,155.0,13766.0,1125.9625163446171,122.0,13701.0,890.4459528501569
Налайх 1-р хороо,78.0,6107.0,1277.2228590142458,144.0,6200.0,2322.5806451612907
Налайх 2-р хороо,87.0,8398.0,1035.960943081686,161.0,8541.0,1885.0251726964057
Налайх 3-р хороо,61.0,5614.0,1086.569291058069,70.0,5722.0,1223.348479552604
Налайх 4-р хороо,46.0,6607.0,696.2312698652944,73.0,6708.0,1088.2528324388788
Налайх 5-р хороо,18.0,2796.0,643.7768240343347,51.0,2846.0,1791.988756148981
Налайх 6-р хороо,56.0,1579.0,3546.548448385054,88.0,1653.0,5323.653962492438
Налайх 7-р хороо,30.0,4712.0,636.6723259762309,81.0,4755.0,1703.4700315457414
Сонгинохайрхан 1-р хороо,162.0,14745.0,1098.677517802645,162.0,14569.0,1111.9500308875008
Сонгинохайрхан 10-р хороо,94.0,10696.0,878.8332086761407,117.0,10827.0,1080.6317539484621
Сонгинохайрхан 11-р хороо,73.0,9976.0,731.756214915798,107.0,10055.0,1064.1471904525113
Сонгинохайрхан 12-р хороо,107.0,5065.0,2112.53701875617,79.0,5130.0,1539.961013645224
Сонгинохайрхан 13-р хороо,71.0,5528.0,1284.3704775687409,74.0,5610.0,1319.073083778966
Сонгинохайрхан 14-р хороо,117.0,5660.0,2067.1378091872793,113.0,5819.0,1941.9144182849286
Сонгинохайрхан 15-р хороо,76.0,5937.0,1280.107798551457,74.0,6102.0,1212.7171419206818
Сонгинохайрхан 16-р хороо,110.0,4980.0,2208.8353413654618,70.0,5036.0,1389.9920571882446
Сонгинохайрхан 17-р хороо,88.0,4909.0,1792.62578936647,74.0,4980.0,1485.9437751004016
Сонгинохайрхан 18-р хороо,153.0,8899.0,1719.294302730644,184.0,11352.0,1620.859760394644
Сонгинохайрхан 19-р хороо,215.0,9916.0,2168.2129891085115,200.0,10655.0,1877.0530267480055
Сонгинохайрхан 2-р хороо,148.0,14343.0,1031.862232447884,150.0,14037.0,1068.6044026501388
Сонгинохайрхан 20-р хороо,209.0,7130.0,2931.2762973352033,156.0,6863.0,2273.0584292583417
Сонгинохайрхан 21-р хороо,128.0,6196.0,2065.848934796643,126.0,6400.0,1968.75
Сонгинохайрхан 22-р хороо,313.0,19343.0,1618.1564390218682,270.0,20093.0,1343.7515552680038
Сонгинохайрхан 23-р хороо,108.0,13281.0,813.1917777275806,81.0,13420.0,603.5767511177347
Сонгинохайрхан 24-р хороо,135.0,13354.0,1010.9330537666617,158.0,13613.0,1160.655256005289
Сонгинохайрхан 25-р хороо,155.0,14009.0,1106.431579698765,119.0,13678.0,870.0102354145342
Сонгинохайрхан 26-р хороо,217.0,17042.0,1273.3247271447015,163.0,17732.0,919.2420482743064
Сонгинохайрхан 27-р хороо,123.0,5954.0,2065.8380920389654,127.0,6180.0,2055.0161812297733
Сонгинохайрхан 28-р хороо,74.0,6990.0,1058.6552217453507,74.0,6912.0,1070.601851851852
Сонгинохайрхан 29-р хороо,117.0,6710.0,1743.666169895678,125.0,7148.0,1748.740906547286
Сонгинохайрхан 3-р хороо,99.0,10942.0,904.770608663864,86.0,11091.0,775.4034802993418
Сонгинохайрхан 30-р хороо,64.0,6464.0,990.0990099009902,69.0,6623.0,1041.8239468518798
Сонгинохайрхан 31-р хороо,102.0,12417.0,821.4544575984537,90.0,12122.0,742.4517406368586
Сонгинохайрхан 32-р хороо,134.0,3260.0,4110.429447852761,151.0,3216.0,4695.273631840796
Сонгинохайрхан 4-р хороо,107.0,8058.0,1327.872921320427,97.0,8199.0,1183.0711062324674
Сонгинохайрхан 5-р хороо,103.0,8234.0,1250.910857420452,104.0,8465.0,1228.5883047844063
Сонгинохайрхан 6-р хороо,116.0,10907.0,1063.537177959109,117.0,12612.0,927.6879162702188
Сонгинохайрхан 7-р хороо,179.0,18794.0,952.4316271150367,136.0,19249.0,706.5302093615253
Сонгинохайрхан 8-р хороо,116.0,8701.0,1333.1800942420412,93.0,9242.0,1006.2756979008873
Сонгинохайрхан 9-р хороо,112.0,8784.0,1275.0455373406194,97.0,8772.0,1105.7911536707707
Сүхбаатар 1-р хороо,379.0,6973.0,5435.25025096802,421.0,6407.0,6570.9380365225525
Сүхбаатар 10-р хороо,215.0,8980.0,2394.2093541202676,182.0,8886.0,2048.165653837497
Сүхбаатар 11-р хороо,227.0,9611.0,2361.877015919259,226.0,10499.0,2152.5859605676733
Сүхбаатар 12-р хороо,107.0,7801.0,1371.6190232021536,127.0,7297.0,1740.441277237221
Сүхбаатар 13-р хороо,144.0,9152.0,1573.4265734265737,174.0,9017.0,1929.6883664189863
Сүхбаатар 14-р хороо,131.0,5879.0,2228.27011396496,109.0,5847.0,1864.2038652300325
Сүхбаатар 15-р хороо,97.0,6276.0,1545.570427023582,119.0,6298.0,1889.4887265798666
Сүхбаатар 16-р хороо,179.0,11713.0,1528.2165115683429,130.0,11945.0,1088.321473419841
Сүхбаатар 17-р хороо,39.0,6709.0,581.3086898196452,61.0,6605.0,923.5427706283119
Сүхбаатар 18-р хороо,84.0,9125.0,920.5479452054793,98.0,9200.0,1065.2173913043478
Сүхбаатар 19-р хороо,82.0,2490.0,3293.1726907630523,100.0,2438.0,4101.722723543889
Сүхбаатар 2-р хороо,77.0,3917.0,1965.7901455195304,79.0,3801.0,2078.4004209418576
Сүхбаатар 20-р хороо,74.0,3935.0,1880.559085133418,99.0,4147.0,2387.2679045092837
Сүхбаатар 22-р хороо,2.0,,,,,
Сүхбаатар 3-р хороо,188.0,7527.0,2497.67503653514,151.0,7492.0,2015.483182060865
Сүхбаатар 4-р хороо,200.0,3281.0,6095.70252971655,126.0,3327.0,3787.195671776375
Сүхбаатар 5-р хороо,110.0,4580.0,2401.7467248908297,88.0,4549.0,1934.4910969443833
Сүхбаатар 6-р хороо,248.0,5652.0,4387.827317763624,164.0,5566.0,2946.4606539705355
Сүхбаатар 7-р хороо,166.0,8486.0,1956.1630921517792,170.0,8556.0,1986.9097709209911
Сүхбаатар 8-р хороо,432.0,8645.0,4997.108155002892,408.0,8133.0,5016.599040944301
Сүхбаатар 9-р хороо,189.0,6901.0,2738.733516881611,164.0,6559.0,2500.381155663973
Хан-Уул 1-р хороо,68.0,9113.0,746.1867661582354,98.0,9448.0,1037.2565622353939
Хан-Уул 10-р хороо,96.0,9304.0,1031.8142734307826,176.0,10174.0,1729.8997444466286
Хан-Уул 11-р хороо,166.0,14640.0,1133.879781420765,207.0,15098.0,1371.0425221883693
Хан-Уул 12-р хороо,38.0,5897.0,644.3954553162625,60.0,6067.0,988.9566507334762
Хан-Уул 13-р хороо,42.0,4041.0,1039.3466963622866,42.0,4107.0,1022.6442658875092
Хан-Уул 14-р хороо,52.0,4710.0,1104.0339702760084,76.0,4884.0,1556.101556101556
Хан-Уул 15-р хороо,209.0,20468.0,1021.1061168653508,300.0,22229.0,1349.5883755454586
Хан-Уул 16-р хороо,45.0,11226.0,400.8551576696953,99.0,11966.0,827.3441417349156
Хан-Уул 2-р хороо,130.0,10549.0,1232.3442980377288,190.0,11400.0,1666.6666666666667
Хан-Уул 3-р хороо,189.0,13929.0,1356.8813267284083,188.0,15213.0,1235.7851837244461
Хан-Уул 4-р хороо,70.0,9466.0,739.4886963870695,158.0,10273.0,1538.012265161102
Хан-Уул 5-р хороо,57.0,5975.0,953.9748953974895,61.0,6002.0,1016.327890703099
Хан-Уул 6-р хороо,36.0,6508.0,553.1653349723417,33.0,7060.0,467.4220963172804
Хан-Уул 7-р хороо,23.0,4619.0,497.94327776575017,45.0,4733.0,950.7711810690893
Хан-Уул 8-р хороо,50.0,11266.0,443.81324338718264,100.0,11420.0,875.6567425569177
Хан-Уул 9-р хороо,66.0,9235.0,714.6724417975095,78.0,9391.0,830.5824725801299
Хаяг 0-р хороо,2.0,,,2.0,,
Чингэлтэй 1-р хороо,150.0,3872.0,3873.9669421487606,154.0,3928.0,3920.570264765784
Чингэлтэй 10-р хороо,75.0,7905.0,948.7666034155598,97.0,8328.0,1164.7454370797311
Чингэлтэй 11-р хороо,74.0,6040.0,1225.1655629139073,128.0,5958.0,2148.3719368915745
Чингэлтэй 12-р хороо,151.0,14691.0,1027.8401742563474,164.0,15073.0,1088.0382140250779
Чингэлтэй 13-р хороо,80.0,8137.0,983.1633280078653,181.0,8361.0,2164.812821432843
Чингэлтэй 14-р хороо,42.0,7948.0,528.4348263714141,83.0,8054.0,1030.5438291532157
Чингэлтэй 15-р хороо,51.0,8539.0,597.2596322754421,102.0,8583.0,1188.395665851101
Чингэлтэй 16-р хороо,79.0,12614.0,626.2882511495164,109.0,12714.0,857.3226364637407
Чингэлтэй 17-р хороо,78.0,14247.0,547.4836807749,96.0,13798.0,695.7530076822728
Чингэлтэй 18-р хороо,78.0,9336.0,835.4755784061696,121.0,9721.0,1244.7279086513734
Чингэлтэй 19-р хороо,128.0,10837.0,1181.1386915197934,228.0,11903.0,1915.4834915567503
Чингэлтэй 2-р хороо,158.0,3268.0,4834.761321909425,147.0,3328.0,4417.067307692308
Чингэлтэй 3-р хороо,138.0,5439.0,2537.23110865968,196.0,5605.0,3496.8777876895633
Чингэлтэй 4-р хороо,133.0,5030.0,2644.135188866799,165.0,4848.0,3403.4653465346537
Чингэлтэй 5-р хороо,133.0,4699.0,2830.389444562673,150.0,5319.0,2820.078962210942
Чингэлтэй 6-р хороо,105.0,7424.0,1414.3318965517242,129.0,7393.0,1744.8938184769377
Чингэлтэй 7-р хороо,86.0,12827.0,670.4607468620878,131.0,13048.0,1003.9852851011649
Чингэлтэй 8-р хороо,51.0,4546.0,1121.8653761548615,89.0,4483.0,1985.2777158153024
Чингэлтэй 9-р хороо,63.0,7420.0,849.0566037735849,117.0,7569.0,1545.7788347205708
