date, title, rooms, price, location, district, sqmtr 
Өчигдөр22:50,Zaisand 3 uruu bair,3,2200000,Зайсан,Хан-Уул,73
Өчигдөр22:33,1 өрөө байр 36м2,1,45000000,21-р хороолол,Сонгино Хайрхан,36
Өчигдөр22:18,13-р хороололд 2өрөө 48м2,2,2200000,13-р хороолол,Баянзүрх,48
Өчигдөр22:06,1 oroo bair 36.2mk,1,62000000,15-р хороолол,Баянзүрх,36.2
Өчигдөр21:43,2өрөө байр 41м2,2,68000000,19-р хороолол,Хан-Уул,41
Өчигдөр21:36,Зайсанд mcs группын барьсан белла виста хотхонд 4 өрөө 154м2,4,650000000,Зайсан,Хан-Уул,154
Өчигдөр21:12,Нисэхэд 2 өрөө байр 69мк,2,93150000,Нисэх,Хан-Уул,69
Өчигдөр21:12,Бзд| дүнжингарав хороололд 4 өрөө байр,4,150000000,Бусад,Баянзүрх,90
Өчигдөр21:11,Яармаг ханбогд хотхонд 2 өрөө байр 48м2,2,82450000,Яармаг,Хан-Уул,48
Өчигдөр21:10,Төмөр замд 2 өрөө байр 50мк,2,75000000,Төмөр зам,Баянгол,50
Өчигдөр21:06,Төмөр замд 2 өрөө байр 50м2,2,75000000,Төмөр зам,Баянгол,50
Өчигдөр21:03,Жуковд 3 өрөө байр 71.4мк,3,2300000,14-р хороолол,Баянзүрх,71.4
Өчигдөр20:37,Shine gemteliin ard narlag hothond 1 oroo bair 28m2,1,50000000,3| 4 хороолол,Баянгол,28
Өчигдөр20:32,Минж плазатай байранд 2 өрөө байр 33м2,2,60000000,3| 4 хороолол,Баянгол,33
Өчигдөр20:29,Хан-уул дүүрэгт нутгийн буян цогцолбор хороололд 1өрөө байр 35.9м2,1,83000000,19-р хороолол,Хан-Уул,35.9
Өчигдөр20:25,Хотын төвд 3 өрөө 70м2,3,135000000,5-р хороолол,Сүхбаатар,70
Өчигдөр19:47,Зайсан блу скай хотхонд 3 өрөө байр 147м2,3,3500000,Зайсан,Хан-Уул,147
Өчигдөр19:45,115r surguuliin art terra apartment 2 өрөө байр 52м2,2,109000000,Зайсан,Хан-Уул,52
Өчигдөр19:42,Amartuvshin hothond 3 uruu 62mк,3,2100000,Баянмонгол хороолол,Баянзүрх,62
Өчигдөр19:38,Хотын төв 5-р сургууль хажууд 2өрөө 54м2,2,76000000,Бага тойрог,Чингэлтэй,54
Өчигдөр19:37,Japan town c1 block 4 өрөө байр 104м2,4,3250000,Japan town,Хан-Уул,104
Өчигдөр19:36,Saruul horoolold 3uruu 72.1m2 bair,3,1950000,Баянмонгол хороолол,Баянзүрх,72.1
Өчигдөр19:06,Нисэхт 2 өрөө 50м2 байр,2,1450000,Нисэх,Хан-Уул,50
Өчигдөр18:58,Хороололд 4 өрөө байр 95мк,4,170000000,3| 4 хороолол,Баянгол,95
Өчигдөр18:58,Бзд 3 өрөө 82.17мк,3,139689000,Бусад,Баянзүрх,82.17
Өчигдөр18:50,Баянбүрдэд 2 өрөө орон сууц,2,100000000,Баянбүрд,Чингэлтэй,59
Өчигдөр18:27,Номингийн ар 80a 3 өрөө 60m2,3,125000000,10-р хороолол,Баянгол,60
Өчигдөр18:20,Түмэн наст хотхонд 2 өрөө байр,2,83000000,14-р хороолол,Баянзүрх,49
Өчигдөр18:18,Өнөрхороололын урд байрлах наран талдаа 3 өрөө 56мк2,3,88000000,Бусад,Сонгино Хайрхан,56
Өчигдөр18:16,21-р хороололд орчлон хотхонд 2өрөө 54мкв байр.,2,82000000,21-р хороолол,Сонгино Хайрхан,54
Өчигдөр18:11,Seoul royal county-д 393мкв 5н өрөө,5,2000000000,Зайсан,Хан-Уул,393
Өчигдөр18:03,Төмөр замд гал тогоо тусдаа 2-өрөө 29м2 байр,2,75000000,Төмөр зам,Баянгол,29
Өчигдөр18:03,Hunnu 2222 3 өрөө 79|9м2 байр,3,259675000,Хүннү,Хан-Уул,79.9
Өчигдөр18:02,Офицерт 2 өрөө байр 56м2,2,79000000,16-р хороолол,Баянзүрх,56
Өчигдөр17:58,Шөнийн захтай 1өрөө 54.5мк,1,80000000,13-р хороолол,Баянзүрх,54.5
Өчигдөр17:58,Olimp xotxond 4 oroo bair,4,2200000,Олимп хотхон,Хан-Уул,120
Өчигдөр17:54,Бзд| hard rock| натурын хойно 2 өрөө байр 65.4 мкв.,2,119000000,13-р хороолол,Баянзүрх,65.4
Өчигдөр17:54,Narnii horoolold 1 tom uruu bair,1,2000000,Бусад,Баянгол,40
Өчигдөр17:45,Худ| хүннү виллад 2өрөө 58.6мк,2,2200000,Яармаг,Хан-Уул,58.6
Өчигдөр17:36,Офицерт 2 өрөө орон сууц 52м2,2,71000000,Офицер,Баянзүрх,52
Өчигдөр17:22,Саппород 41м2 1 өрөө байр,1,52000000,1-р хороолол,Сонгино Хайрхан,41
Өчигдөр17:21,13horoolold 2uruu bair,2,88000000,13-р хороолол,Баянзүрх,1
Өчигдөр17:14,Ocean'10 орон сууцанд 4 өрөө байр 169м2,4,3650000,Бусад,Хан-Уул,169
Өчигдөр17:12,4 өрөө байр,4,95000000,6-р бичил,Баянгол,48
Өчигдөр17:12,Нарлаг өргөө хотхонд 3 өрөө байр,3,206010000,Бусад,Баянзүрх,76
Өчигдөр17:10,Royal green villa хотхонд 4 өрөө 200м2 байр,4,750000000,Зайсан,Хан-Уул,200
Өчигдөр17:10,Дүнжингарав хотхонд 3 өрөө байр 74|7м2,3,135000000,Баянмонгол хороолол,Баянзүрх,74.7
Өчигдөр16:57,Романа резиденсд 3 өрөө байр,3,4000000,Romana Residence,Хан-Уул,85
Өчигдөр16:54,3-р хороолол модны 2-т кorea town 1 байранд 40 м/кв байр,1,69000000,3| 4 хороолол,Баянгол,40
Өчигдөр16:54,Hos urgoo hothon 2oroo 57m2,2,104000000,Хос-Өргөө,Хан-Уул,57
Өчигдөр16:53,2өрөө байр 54м2,2,68000000,1-р хороолол,Сонгино Хайрхан,54
Өчигдөр16:51,Баганат хороололд 2 өрөө 40.03м2 байр,2,1500000,16-р хороолол,Баянзүрх,40.03
Өчигдөр16:48,Баянзүрхт happy town 2 өрөө 63мк,2,1750000,15-р хороолол,Баянзүрх,63
Өчигдөр16:47,Натур амартүвшин хотхоны хойд талд 3өрөө 70м2,3,2000000,13-р хороолол,Баянзүрх,70
Өчигдөр16:45,Бзд-жуков парк зочид буудалын ард,2,100000000,15-р хороолол,Баянзүрх,53
Өчигдөр16:43,2 өрөө байр,2,1400000,Бусад,Баянзүрх,46.7
Өчигдөр16:42,Хурд kh apartmented 2 өрөө 40м2 байр,2,115000000,Бусад,Хан-Уул,40
Өчигдөр16:35,Нисэхэд 43.23мк 2өрөө байр,2,60000000,Нисэх,Хан-Уул,43.23
Өчигдөр16:33,Цирк-н зүүн талын 2б байрнд 2 өрөө 28м2 байр,2,115000000,Бусад,Баянгол,28
Өчигдөр16:32,Америк элчинтэй залгаа 3 өрөө байр 39м2,3,115000000,11-р хороолол,Сүхбаатар,39
Өчигдөр16:31,1өрөө байр хурдын рапид харш хотхон,1,70000000,Хурд,Хан-Уул,33.7
Өчигдөр16:31,Модны 2-т 1 өрөөг 2 болгосон байр 38м2,1,66000000,3| 4 хороолол,Баянгол,38
Өчигдөр16:28,Mon housed 2 uruu bair 64.34m2,2,160850000,13-р хороолол,Сүхбаатар,64.34
Өчигдөр16:28,Грийн ресурс хотхонд 2 өрөө байр 33м2,2,56000000,Өгөөмөр захын зүүн,Баянзүрх,33
Өчигдөр16:28,Жаргалан хотхонд 5 өрөө байр,5,2450000,19-р хороолол,Хан-Уул,210
Өчигдөр16:25,24-р сургуулийн яг урд байрлах 97мкв 4 өрөө,4,293000000,40| 50 мянгат,Чингэлтэй,97
Өчигдөр16:25,3|4 хороололд 2 өрөө байр,2,110000000,3| 4 хороолол,Баянгол,50
Өчигдөр16:23,3|4-р хороололд 3өрөө байр 75м2,3,90000000,3| 4 хороолол,Баянгол,75
Өчигдөр16:22,2 өрөө байр 55м2,2,93000000,Бусад,Баянзүрх,55
Өчигдөр16:18,Зайсанд| roma town-д 163м2 5н өрөө,5,350000000,Зайсан,Хан-Уул,163
Өчигдөр16:16,True l хотхонд 72мкв 3 өрөө байр,3,2600000,Баянмонгол хороолол,Баянзүрх,72
Өчигдөр16:16,Нарны хороолол| 105|81м.кв 3 өрөө байр,3,233000000,Нарны хороолол,Баянгол,105.81
Өчигдөр15:59,Хүннү молл шинэ өргөө хотхонд 1 өрөө байр,1,68000000,Яармаг,Хан-Уул,40
Өчигдөр15:59,Модны 2-т 2өрөө 62мк,2,112320000,3| 4 хороолол,Баянгол,62
Өчигдөр15:49,Гаалийн байранд 2 өрөө байр 48м2,2,75000000,Бусад,Хан-Уул,48
Өчигдөр15:45,Шинэ хотхонд 3 өрөө байр 48.5 мкв,3,70000000,1-р хороолол,Баянгол,48.5
Өчигдөр15:36,Цэцэрлэгт хүрээлэнгийн ард 3 өрөө байр,3,2900000,Бусад,Баянзүрх,93
Өчигдөр15:29,25emiin sangiin ard 2uruu bair,2,79000000,25-р эмийн сан,Баянгол,47
Өчигдөр15:28,Баянгол дүүрэг 5-р хороо 3 эмнэлгийн урд 68|45м2 байр,3,1400000,10-р хороолол,Баянгол,68.45
Өчигдөр15:27,Oficer sunjingrandiin hajuud 2uruu bair,2,70000000,Офицер,Баянзүрх,51.6
Өчигдөр15:27,Жаргалан хотхонд 5-н өрөө дуплекс,5,508000000,Оддын хороолол,Хан-Уул,210
Өчигдөр15:22,Da huree zahiin zuun tald zam daguu 1uruu bair,1,30000000,16-р хороолол,Баянзүрх,21
Өчигдөр15:15,Худ 15-хороо 67-байранд 3-өрөө байр 71|4м2,3,150000000,19-р хороолол,Хан-Уул,71.4
Өчигдөр15:14,Tsengeldehiin zuun tald hurdiin rapid horoolold 2uruu bair 65m2,2,123000000,Хурд,Хан-Уул,65
Өчигдөр15:14,Маршал таунд 3 давхар хаус,5,1000000000,Marshall town,Хан-Уул,216
Өчигдөр15:12,Ч|д 6-р хороонд 50|37мк 2 өрөө байр,2,100000000,Бага тойрог,Чингэлтэй,50.37
Өчигдөр15:11,Зайсанд будда виста цогцолборт 4 өрөө байр,4,700000000,Зайсан,Хан-Уул,122
Өчигдөр15:10,3 эмнэлгийн хойно 3 өрөө байр 75мк,3,90000000,10-р хороолол,Баянгол,75
Өчигдөр15:09,Зайсанд tescoma-тай байр 3 өрөө 135м2 байр,3,380000000,Зайсан,Хан-Уул,135
Өчигдөр15:07,Hurd horoolold 2 uruu bair,2,130000000,Хурд,Хан-Уул,69.65
Өчигдөр15:04,2 өрөө,2,80000000,6-р бичил,Баянгол,30
Өчигдөр15:04,Алтай хотхонд 78|42м2 3 өрөө байр,3,121000000,Алтай хотхон,Баянгол,78.42
Өчигдөр15:04,Han uul huduu aj ahuin surguuliin baruun tald 3uruu shine bair,3,121000000,Зайсан,Хан-Уул,80
Өчигдөр14:52,Чд цэцэг төв 3 өрөө 94мк байр,3,230000000,40| 50 мянгат,Чингэлтэй,94
