date, title, rooms, price, location, district, sqmtr 
2019-02-25,Han-uul duuregt 3 uruu 74.78 m2,3,182000000,19-р хороолол,Хан-Уул,74.78
2019-02-25,Аман хуур хотхонд 4 өрөө 95.3м2| гаражын хамт.,4,220000000,14-р хороолол,Баянзүрх,95.3
2019-02-25,Nalaih gordok-t 3 uruu 65m2 bair garajtai,3,58000000,Бусад,Налайх,65
2019-02-25,Horoolliin etsest 1 oroog 2 oroo bolgns bair,2,55000000,3| 4 хороолол,Баянгол,32
2019-02-25,Цагаан хаалгад 2 өрөө байр 42м2,2,1800000,Нисэх,Хан-Уул,42
2019-02-25,Хүнсний 1-т 2 өрөө,2,80000000,Бага тойрог,Чингэлтэй,65
2019-02-25,Гачууртад 3 өрөө байр,3,98000000,Гачуурт,Баянзүрх,75
2019-02-25,13р хороолол жастын байранд 2 өрөө байр,2,75000000,14-р хороолол,Баянзүрх,41
2019-02-25,Altai hothond 2 uruu bair,2,102500000,Алтай хотхон,Баянгол,64
2019-02-25,Tuul garden-d 2 oroo 65m2 bair,2,143000000,19-р хороолол,Хан-Уул,65
2019-02-25,Japan town c5-d 4 oroo,4,7000000,Japan town,Хан-Уул,139.69
2019-02-25,Саруул хороолол 3өрөө 72мк,3,1900000,Бусад,Баянзүрх,72
2019-02-25,Нарны зам дагуу шинэ дөл цогцолборт 3өрөө 109м2,3,200000000,Бусад,Баянзүрх,109
2019-02-25,Сансарын клонкийн урд шинэ 2өрөө,2,87000000,Бусад,Баянзүрх,58
2019-02-25,Баганат хороололд 2 өрөө байр 44.05мк,2,1500000,16-р хороолол,Баянзүрх,44.05
2019-02-25,19-р хороолол| 76м2 талбайтай 3 өрөө байр,3,2750000,19-р хороолол,Хан-Уул,75.15
2019-02-25,Ногоон урлан хотхонд 3 өрөө байр 96|51м2,3,159241500,Бусад,Сүхбаатар,96.51
2019-02-25,Алтай хотхонд 1 давхарын 1 өрөө байр,1,1650000,Алтай хотхон,Баянгол,35
2019-02-25,10-р хороололд 2 өрөө байр,2,85000000,10-р хороолол,Баянгол,46.16
2019-02-25,Han uul 15-r horoo green house-iin baruun tald 106mkv 3 uruu,3,175000000,Зайсан,Хан-Уул,106
2019-02-25,1 хороололд 3 өрөө 97 мкв байр,3,1300000,1-р хороолол,Сонгино Хайрхан,97
2019-02-25,Ханбүргэдэйн хашаан дотор 2 өрөө байр,2,85000000,Ханбүргэдэй,Баянгол,65
2019-02-25,Талбай томтой 2 өрөө байр,2,109600000,Зүүн 4 зам,Баянзүрх,68.5
2019-02-25,1 хороололд 3 өрөө байр,3,75000000,1-р хороолол,Сонгино Хайрхан,47
2019-02-25,Улаанхуаранд 36 мкв 1 өрөө байр,1,55000000,16-р хороолол,Баянзүрх,36
2019-02-25,1 ѳрѳѳ байр,1,32000000,21-р хороолол,Сонгино Хайрхан,21
2019-02-25,Вива сити-д 3 өрөө /49.5мкв/,3,75000000,Viva city,Баянзүрх,50
2019-02-25,100 айлд монгол 3 сургуулийн ард байрлалтай 2 өрөө байр 39.4м2,2,70000000,100 айл,Сүхбаатар,39.4
2019-02-25,Гал тогоо тусдаа 1 өрөө байр,1,50000000,1-р хороолол,Сонгино Хайрхан,49
2019-02-25,Туул гарденд 2өрөө 58|7м2,2,110000000,Алтай хотхон,Хан-Уул,59
2019-02-25,1-р сургуулийн урд 2 өрөө 51м2 байр,2,130000000,19-р хороолол,Сүхбаатар,51
2019-02-25,Москва хорооллын зүүн талд ub vista 2 өрөө байр 62м2,2,1900000,1-р хороолол,Сонгино Хайрхан,61
2019-02-25,Хотын төвд суис хойно 4 өрөө байр,4,268000000,Бага тойрог,Сүхбаатар,107
2019-02-25,Bella vista хотхонд 240мк дүплекс,5,1600000000,Зайсан,Хан-Уул,240
2019-02-25,Нутгийн буян хотхонд 4 өрөө байр 147.69м2,4,2400000,120 мянгат,Хан-Уул,147.69
2019-02-25,Орчлон хороололд 2 өрөө байр,2,62000000,21-р хороолол,Сонгино Хайрхан,53.7
2019-02-25,Хороололд 3 өрөө байр,3,99000000,3| 4 хороолол,Баянгол,78
2019-02-25,Хорооллын эцэст 3 өрөө 65м2 байр,3,1800000,3| 4 хороолол,Баянгол,65
2019-02-25,Нисэхд 1 өрөө байр,1,50000000,Нисэх,Хан-Уул,30
2019-02-25,10-р хороололд 3 өрөө байр 72м2,3,95000000,10-р хороолол,Баянгол,72
2019-02-25,Golden park-2 hothond 1 oroo bair,1,55000000,10-р хороолол,Баянгол,30
2019-02-25,21-р хороололд 2 өрөө байр 61.2м2,2,70000000,21-р хороолол,Сонгино Хайрхан,61.2
2019-02-25,Jukovt gal togoo tusdaa 3n uruu bair,3,95000000,15-р хороолол,Баянзүрх,39
2019-02-25,10 хороололд уб паласын дэргэд 3 өрөө,3,112500000,10-р хороолол,Баянгол,75
2019-02-25,Sansart gal togoo tusdaa 2uruu bair,2,95000000,Сансар,Баянзүрх,30
2019-02-25,Маршал таун хотхонд 4 өрөө байр,4,370000000,Marshall town,Хан-Уул,206.5
2019-02-25,2uruu oron suuts 56.2m2,2,1750000,Бусад,Хан-Уул,56.2
2019-02-25,Гэмтэлийн эмнэлэгийн баруун талд байрлах 24мкв 1 өрөө байр,1,42000000,3| 4 хороолол,Баянгол,24
2019-02-25,25р эмийн сан 50м.кв 2 өрөө,2,95000000,25-р эмийн сан,Баянгол,50
2019-02-25,King tower-т 3 өрөө байр,3,2900000,King Tower,Хан-Уул,96
2019-02-25,100 айлд 2 өрөө 50м2 байр,2,65000000,100 айл,Сүхбаатар,50
2019-02-25,Saruul hothond 3 uruu 85.8mк bair,3,1900000,Баянмонгол хороолол,Баянзүрх,85.8
2019-02-25,10r horoolold 2uruu bair,2,65000000,10-р хороолол,Баянгол,37
2019-02-25,Бөхийн өргөөний урд 3өрөө байр,3,160000000,13-р хороолол,Баянзүрх,95.52
2019-02-25,Зайсанд 1 өрөө 32мк,1,59000000,Зайсан,Хан-Уул,32
2019-02-25,Хилчин хотхоны замын эсрэг талд 2өрөө байр,2,59000000,Баянхошуу,Сонгино Хайрхан,43
2019-02-25,Sbduureg dulguun nuuriin zuun tald 2 uruu oron suuts 43m2,2,73700000,Дөлгөөн нуур,Сүхбаатар,43
2019-02-25,Худ| 4 өрөө байр 159м2,4,215000000,Бусад,Хан-Уул,159
2019-02-25,Натурын баруун урд засваргүй 3 өрөө,3,160000000,13-р хороолол,Баянзүрх,89
2019-02-25,Гэрэлт өргөө,1,66300000,19-р хороолол,Хан-Уул,39
